更新时间,#genre#
20260831-10-39-42,url


RespoTime,whitelist,#genre#
478.79ms,CCTV1,http://114.226.212.189:8787/rtp/239.49.8.129:6000
486.86ms,CCTV1,http://115.171.216.40:4000/rtp/225.1.8.126:8002
471.42ms,CCTV1,http://115.171.216.40:4000/rtp/225.1.8.194:4120
471.98ms,CCTV1,http://39.77.22.26:4002/rtp/239.253.254.77:8000
473.51ms,CCTV1,http://39.77.26.75:4002/rtp/239.253.254.89:8000
471.02ms,CCTV1,http://124.112.241.196:4022/rtp/238.1.78.166:7200
520.35ms,CCTV1,http://114.254.38.234:8888/rtp/239.3.1.129:8008
474.15ms,CCTV1,http://60.4.28.19:8077/rtp/239.253.92.83:8012
475.65ms,CCTV1,http://39.77.26.75:4002/rtp/239.253.254.77:8000
499.86ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.81:8176
466.59ms,CCTV1,http://115.171.216.40:4000/rtp/225.1.8.53:8060
472.35ms,CCTV1,http://106.59.2.152:55555/rtp/239.200.200.2:8080
472.75ms,CCTV1,http://106.59.2.152:55555/rtp/239.200.200.14:8852
472.09ms,CCTV1,http://106.59.2.152:55555/rtp/239.200.201.45:8800
471.09ms,CCTV1,http://106.59.2.152:55555/rtp/239.200.200.117:8712
467.80ms,CCTV1,http://114.226.212.189:8787/rtp/239.49.8.19:9614
463.20ms,CCTV1,http://221.220.128.203:8012/rtp/239.3.1.129:8008
499.19ms,CCTV1,http://1.192.242.239:8188/rtp/239.16.20.1:10010
470.61ms,CCTV1,http://39.77.22.26:4002/rtp/239.253.254.89:8000
475.29ms,CCTV1,http://124.112.189.1:4022/rtp/238.1.78.166:7200
505.33ms,CCTV1,http://115.171.216.40:4000/rtp/225.1.8.1:8008
247.42ms,CCTV1,http://198.204.228.26/live/cctv1hd.m3u8
263.42ms,CCTV1,http://204.12.221.218:8181/3m1080p/cctv1.m3u8
403.15ms,CCTV1,http://183.11.239.36:808/hls/19/index.m3u8
402.83ms,CCTV1,http://120.76.248.139/live/bfgd/4200000489.m3u8
418.51ms,CCTV1,http://120.76.248.139/live/bfgd/4200000488.m3u8
430.43ms,CCTV1,http://111.59.24.227:8181/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
431.83ms,CCTV1,http://113.15.109.216:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
451.59ms,CCTV1,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8
484.86ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.126:8002
462.07ms,CCTV1,http://221.7.175.154:8445/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
505.24ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.194:4120
505.59ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.210:8068
486.73ms,CCTV1,http://182.140.125.47:808/hls/1/index.m3u8
533.96ms,CCTV1,http://120.76.248.139/live/bfgd/4200000201.m3u8
538.07ms,CCTV1,http://120.76.248.139/live/bfgd/4200000484.m3u8
124.90ms,CCTV1,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009
535.28ms,CCTV1,http://bztv.tvbus.cc:8081/cdnlive/cctv1.m3u8
317.71ms,CCTV1,http://112.30.73.119:229/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
1096.52ms,CCTV1,http://115.171.216.40:4000/rtp/225.1.8.33:8002
1108.21ms,CCTV1,http://115.171.216.40:4000/rtp/225.1.8.210:8068
210.67ms,CCTV1,http://74.91.26.218:82/live/cctv1hd.m3u8
1180.31ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.33:8002
417.85ms,CCTV1,http://221.226.51.220:50081/newlive/live/hls/1/live.m3u8
434.09ms,CCTV1,http://120.198.95.220:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&down=1
1442.08ms,CCTV1,http://115.171.216.40:4000/rtp/225.1.8.81:8176
1446.17ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.53:8060
556.62ms,CCTV1,http://120.40.39.246:352/newlive/live/hls/1/live.m3u8
1136.78ms,CCTV1,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv1hd
1609.44ms,CCTV1,http://play.kankanlive.com/live/1698234869325962.m3u8
1621.75ms,CCTV1,http://play.kankanlive.com/live/1661761962676984.m3u8
2136.84ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.1:8008
1470.97ms,CCTV1,http://183.129.255.66:8480/hls/1/index.m3u8
2147.18ms,CCTV1,http://www.cdnstv.com:6398/hls/1/index.m3u8
1680.80ms,CCTV1,http://120.48.113.49:6006/608807420
1552.39ms,CCTV1,http://222.213.105.65:7788/608807420
1652.66ms,CCTV1,http://222.134.19.49:8090/608807420
1628.23ms,CCTV1,http://121.29.157.193:7788/608807420
1620.30ms,CCTV1,http://www.ikerobot.com:1234/608807420
1482.19ms,CCTV1,http://45.78.61.93:1234/608807420
1494.08ms,CCTV1,http://47.119.24.76:59093/608807420
1666.51ms,CCTV1,http://14.118.89.10:7788/608807420
1796.97ms,CCTV1,http://119.233.255.62:1234/608807420
1757.05ms,CCTV1,http://124.221.146.169:7001/608807420
1409.91ms,CCTV1,http://113.98.11.46:3000/608807420
675.70ms,CCTV1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
2250.33ms,CCTV1,https://live.chinacert.cftest5.cn/cnmg/live/608807420
1299.69ms,CCTV1,http://47.120.5.28:1234/608807420
326.25ms,CCTV1,http://112.27.5.218:9901/tsfile/live/faacts/0001_1.m3u8?key=txiptv&playlive=1&authid=0
5372.36ms,CCTV1,http://8.138.7.223/tv/migu3.php?id=cctv1
210.35ms,CCTV1,http://173.208.212.130:8181/720p/cctv1.m3u8
103.53ms,CCTV1,http://69.30.245.50/live/cctv1.m3u8
26.84ms,CCTV1,http://38.75.136.137:98/gslb/dsdqca/cctv1hd.m3u8?auth=test20251009
1493.55ms,CCTV1,http://113.57.140.161:10081/newlive/live/hls/1/live.m3u8
364.42ms,CCTV1,http://112.30.73.119:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
480.23ms,CCTV1,http://118.122.144.115:8888/newlive/live/hls/1/live.m3u8
216.53ms,CCTV1,http://192.151.150.154/live/cctv1hd.m3u8
407.21ms,CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=14
244.12ms,CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=6
423.94ms,CCTV1,http://153.0.171.163:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
428.21ms,CCTV1,https://iptv.catvod.com/catvod?id=CCTV1&line=7
222.45ms,CCTV1,http://107.150.60.122/live/cctv1hd.m3u8
442.28ms,CCTV1,https://iptv.catvod.com/catvod?id=CCTV1&line=11
434.55ms,CCTV1,https://iptv.catvod.com/catvod?id=CCTV1&line=14
475.64ms,CCTV1,https://iptv.catvod.com/catvod?id=CCTV1&line=9
474.85ms,CCTV1,https://iptv.catvod.com/catvod?id=CCTV1&line=13
476.19ms,CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=16
544.82ms,CCTV1,https://iptv.catvod.com/catvod?id=CCTV1&line=17
560.16ms,CCTV1,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk33
472.66ms,CCTV1,https://iptv.catvod.com/catvod?id=CCTV1&line=18
524.52ms,CCTV1,https://iptv.catvod.com/catvod?id=CCTV1&line=8
568.88ms,CCTV1,https://iptv.catvod.com/catvod?id=CCTV1&line=16
451.51ms,CCTV1,https://iptv.catvod.com/catvod?id=CCTV1&line=12
207.43ms,CCTV1,http://198.204.240.250:82/live/cctv1.m3u8
497.49ms,CCTV1,https://iptv.catvod.com/catvod?id=CCTV1&line=10
534.67ms,CCTV1,https://iptv.catvod.com/catvod?id=CCTV1&line=15
470.58ms,CCTV1,https://iptv.catvod.com/catvod?id=CCTV1&line=21
522.21ms,CCTV1,https://iptv.catvod.com/catvod?id=CCTV1&line=19
456.93ms,CCTV1,https://iptv.catvod.com/catvod?id=CCTV-1%E9%AB%98%E6%B8%85&line=1
481.71ms,CCTV1,https://iptv.catvod.com/catvod?id=CCTV1&line=20
321.30ms,CCTV1,https://iptv.catvod.com/catvod?id=CCTV1%E7%BB%BC%E5%90%88&line=1
